Year,Price,Dividend,Earnings,CPI,Rate10Y,CAPE,RealDiv,RealEarn,RealPrice,Payout,DivYield,EarnYield,PE,DivGrowth,EarnGrowth,Era
1889,5.323333333333333,0.22458333333333333,0.2816666666666667,7.738333333333333,3.436666666666667,16.6825,8.886666666666667,11.148333333333333,210.66166666666666,0.7973372781065088,0.04218847839699436,0.05291170945522856,18.899408284023668,-0.060975609756097615,-0.07901907356948235,1871-1900  Gilded Age
1890,5.269166666666667,0.22,0.29458333333333336,7.795000000000001,3.5116666666666667,16.575833333333332,8.647499999999999,11.5775,207.1833333333333,0.7468175388967467,0.04175233275343982,0.05590700616795825,17.886845827439885,-0.020408163265306145,0.04585798816568065,1871-1900  Gilded Age
1891,5.028333333333333,0.22,0.31708333333333333,7.770833333333333,3.61,16.3075,8.673333333333334,12.51,198.35916666666665,0.6938239159001314,0.043752071594298975,0.06305933046072257,15.8580814717477,0.0,0.07637906647807635,1871-1900  Gilded Age
1892,5.55,0.23083333333333333,0.35624999999999996,7.2725,3.6683333333333334,19.169166666666666,9.721666666666666,15.004166666666668,233.82416666666666,0.6479532163742691,0.04159159159159159,0.06418918918918919,15.578947368421055,0.04924242424242431,0.12352168199737168,1871-1900  Gilded Age
1893,4.7749999999999995,0.24541666666666664,0.3104166666666667,7.445833333333333,3.7275000000000005,15.896666666666667,10.116666666666667,12.737499999999999,195.8516666666667,0.7906040268456375,0.05139616055846422,0.0650087260034904,15.382550335570468,0.063176895306859,-0.1286549707602338,1871-1900  Gilded Age
1894,4.386666666666667,0.22833333333333336,0.2058333333333333,6.663333333333334,3.59,16.580000000000002,10.495833333333334,9.461666666666666,201.68166666666664,1.1093117408906885,0.0520516717325228,0.0469224924012158,21.311740890688263,-0.06960950764006768,-0.3369127516778524,1871-1900  Gilded Age
1895,4.525,0.1991666666666667,0.20875,6.805,3.5241666666666664,17.128333333333334,8.97,9.385,203.53,0.9540918163672656,0.04401473296500921,0.04613259668508287,21.67664670658683,-0.12773722627737227,0.014170040485830038,1871-1900  Gilded Age
1896,4.233333333333333,0.18458333333333332,0.22833333333333336,6.4624999999999995,3.5083333333333333,16.9575,8.749166666666666,10.820833333333333,200.54250000000002,0.8083941605839414,0.0436023622047244,0.05393700787401575,18.54014598540146,-0.07322175732217584,0.09381237524950126,1871-1900  Gilded Age
1897,4.450833333333333,0.18000000000000002,0.26416666666666666,6.4941666666666675,3.3775,17.970833333333335,8.489166666666668,12.441666666666668,209.66083333333333,0.6813880126182966,0.040441864819322236,0.05935218123946827,16.848580441640376,-0.02483069977426622,0.15693430656934293,1871-1900  Gilded Age
1898,5.0525,0.19083333333333333,0.33166666666666667,6.7491666666666665,3.2358333333333333,19.481666666666666,8.661666666666667,15.0575,229.42166666666665,0.5753768844221105,0.037770080818076854,0.0656440705921161,15.233668341708544,0.06018518518518512,0.25552050473186116,1871-1900  Gilded Age
1899,6.288333333333334,0.20541666666666666,0.42041666666666666,7.288333333333334,3.1225,21.537499999999998,8.645833333333334,17.63,264.8075,0.4886025768087215,0.03266631327855817,0.06685661277498012,14.957383548067396,0.07641921397379914,0.26758793969849237,1871-1900  Gilded Age
1900,6.1475,0.25875,0.48,7.81,3.126666666666667,18.57,10.159166666666666,18.820833333333333,241.04916666666668,0.5390625,0.04209028060187068,0.07808052053680357,12.807291666666668,0.25963488843813387,0.1417244796828543,1871-1900  Gilded Age
1901,7.8425,0.31083333333333335,0.4908333333333334,7.691666666666666,3.1366666666666667,22.736666666666665,12.375,19.541666666666668,312.2716666666667,0.633276740237691,0.03963447030071193,0.06258633513973011,15.97792869269949,0.20128824476650586,0.022569444444444642,1901-1929  Pre-Crash
1902,8.416666666666666,0.32541666666666663,0.5704166666666667,8.1825,3.235,21.956666666666667,12.184166666666668,21.32166666666667,315.18916666666667,0.570489408327246,0.03866336633663366,0.06777227722772278,14.755295836376916,0.046916890080428875,0.16213921901527995,1901-1929  Pre-Crash
1903,7.211666666666667,0.3408333333333333,0.5758333333333333,8.285,3.345833333333333,17.635833333333334,12.6025,21.265833333333333,266.03249999999997,0.5918958031837916,0.047261382019875196,0.07984746937832216,12.523878437047758,0.04737516005121645,0.009495982468955333,1901-1929  Pre-Crash
