Symbol,Security,Sector,SubIndustry,Founded,Age,YearAdded,Price,PE,PB,DivYield,EPS,MarketCapBn,Payer,PayoutRatio
AZO,AutoZone,Consumer Discretionary,Automotive Retail,1979,47,1997,2957.41,20.325842,-17.385178,,145.5,48.280768512,False,
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,1978,48,2007,189.61,26.045328,2.1839437,0.0376,7.28,27.111135232,True,0.9793043956043957
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,1935,91,1987,160.9,18.119368,5.361903,0.0249,8.88,12.3073024,True,0.45117229729729724
AXON,Axon Enterprise,Industrials,Aerospace & Defense,1993,33,2023,502.34,204.20325,11.452477,,2.46,40.489648128,False,
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2017,9,2017,57.25,18.290733,2.939817,0.0161,3.13,56.795930624,True,0.2944808306709265
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",1880,146,1984,63.84,18.612244,3.034365,0.0125,3.43,16.997177344,True,0.2326530612244898
BAC,Bank of America,Financials,Diversified Banks,1998,28,1976,62.05,14.330255,1.5771949,0.0206,4.33,440.343461888,True,0.295203233256351
BAX,Baxter International,Health Care,Health Care Equipment,1931,95,1972,22.4,,1.9143662,0.0089,-1.91,11.568905216,True,
BDX,Becton Dickinson,Health Care,Health Care Equipment,1897,129,1972,156.36,27.335665,1.7852576,0.0269,5.72,43.083501568,True,0.7353293706293708
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,1839,187,2010,,,,,,,False,
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,1966,60,1999,85.43,15.82037,5.838573,0.0449,5.4,18.005835776,True,0.7103346296296297
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,1976,50,2021,71.6,102.28571,5.374165,0.0045,0.7,11.156042752,True,0.46028571428571424
BIIB,Biogen,Health Care,Biotechnology,1978,48,2003,202.19,21.74086,1.6000222,,9.3,29.850748928,False,
BLK,BlackRock,Financials,Asset Management & Custody Banks,1988,38,2011,1055.67,25.315828,2.8932772,0.0217,41.7,171.654397952,True,0.5493534532374101
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,1985,41,2023,130.0,29.082775,11.536073,0.0382,4.47,161.7989632,True,1.1109619686800893
BA,Boeing,Industrials,Aerospace & Defense,1916,110,1957,209.52,82.48819,27.601107,,2.54,165.165105152,False,
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1996,30,2009,177.46,23.411612,-15.865891,0.0091,7.58,137.509945344,True,0.21304564643799473
BSX,Boston Scientific,Health Care,Health Care Equipment,1979,47,1995,44.25,18.514643,2.5428112,,2.39,65.771216896,False,
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,1989,37,1957,62.09,17.392157,6.3176637,0.0406,3.57,126.792204288,True,0.706121568627451
AVGO,Broadcom,Information Technology,Semiconductors,1961,65,2014,381.92,63.653336,20.722734,0.0068,6.0,1817.0150912,True,0.43284266666666665
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,1962,64,2018,148.92,15.927272,6.1125474,0.0262,9.35,17.2238336,True,0.4172945454545454
BRO,Brown & Brown,Financials,Insurance Brokers,1939,87,2021,67.66,22.03909,1.8004738,0.0098,3.07,22.933211136,True,0.21598306188925082
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,1870,156,1982,,,,,,,False,
BLDR,Builders FirstSource,Industrials,Building Products,1998,28,2023,72.86,27.809162,1.9563934,,2.62,7.836812288,False,
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,1818,208,2023,121.53,31.981579,1.4695284,0.0237,3.8,23.579021312,True,0.7579634210526316
BXP,"BXP, Inc.",Real Estate,Office REITs,1970,56,2006,69.11,34.72864,2.1284916,0.0405,1.99,12.32310272,True,1.4065100502512562
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,1905,121,2007,186.505,37.754047,12.931083,0.0135,4.94,21.983911936,True,0.5096796558704453
CDNS,Cadence Design Systems,Information Technology,Application Software,1988,38,2017,326.24,76.40281,13.7139015,,4.27,89.982205952,False,
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,1981,45,2022,113.73,31.768158,2.9350436,0.0373,3.58,11.269573632,True,1.1849522346368715
COF,Capital One,Financials,Consumer Finance,1994,32,1998,202.84,11.175757,1.1481422,0.0158,18.15,124.442345472,True,0.17657696969696973
CAH,Cardinal Health,Health Care,Health Care Distributors,1971,55,1997,228.03,34.866974,-18.922081,0.009,6.54,53.40596224,True,0.313802752293578
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1972,54,1998,26.33,11.86036,2.7856538,0.0171,2.22,36.06286336,True,0.20281216216216214
CARR,Carrier Global,Industrials,Building Products,2020,6,2020,68.88,45.92,4.2571073,0.0139,1.5,57.210376192,True,0.6382879999999999
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,1925,101,1957,888.73,44.23743,21.93799,0.0073,20.09,409.341886464,True,0.32293325037332005
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,53,2017,285.07,24.32338,5.5530233,0.0101,11.72,29.833654272,True,0.24566612627986342
CBRE,CBRE Group,Real Estate,Real Estate Services,1906,120,2006,139.46,31.840183,4.7934284,,4.38,40.836202496,False,
CDW,CDW Corporation,Information Technology,Technology Distributors,1984,42,2019,133.82,16.299635,6.703066,0.0188,8.21,17.095967744,True,0.3064331303288672
COR,Cencora,Health Care,Health Care Distributors,1985,41,2001,309.89,23.74636,17.745522,0.0077,13.05,60.292530176,True,0.18284697318007664
CNC,Centene Corporation,Health Care,Managed Health Care,1984,42,2016,63.41,,1.4612283,,-13.05,31.3116672,False,
CNP,CenterPoint Energy,Utilities,Multi-Utilities,1882,144,1985,44.56,27.337423,2.5459948,0.0215,1.63,29.149792256,True,0.5877546012269939
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,1946,80,2008,125.07,11.257426,3.5964458,0.0192,11.11,19.214413824,True,0.2161425742574257
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,1947,79,2021,226.58,,3.7113843,,-3.72,10.913844224,False,
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,1971,55,1997,101.97,18.573772,4.1731124,0.0126,5.49,177.339645952,True,0.23402950819672128
CHTR,Charter Communications,Communication Services,Cable & Satellite,1993,33,2016,123.31,3.2078564,0.9255562,,38.44,16.619411456,False,
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,1879,147,1957,194.79,33.876522,2.0966353,0.0366,5.75,387.94330112,True,1.239880695652174
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,1993,33,2011,31.79,29.165138,16.990913,,1.09,40.778113024,False,
CB,Chubb Limited,Financials,Property & Casualty Insurance,1985,41,2010,359.75,12.7570915,1.8676766,0.0113,28.2,139.532664832,True,0.14415514184397163
CHD,Church & Dwight,Consumer Staples,Household Products,1847,179,2015,97.64,32.11842,5.5254374,0.0126,3.04,23.135172608,True,0.4046921052631579
CI,Cigna,Health Care,Health Care Services,1982,44,1976,289.57,12.269916,1.8152127,0.0215,23.6,76.60064768,True,0.26380317796610164
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,1950,76,1997,182.81,10.452258,1.7985499,0.0206,17.49,28.27828224,True,0.21531652372784452
CTAS,Cintas,Industrials,Diversified Support Services,1929,97,2001,205.91,42.02245,16.030361,0.0087,4.9,82.39427584,True,0.3655953061224489
CSCO,Cisco,Information Technology,Communications Equipment,1984,42,1993,114.17,38.056667,9.206515,0.0147,3.0,449.993572352,True,0.559433
C,Citigroup,Financials,Diversified Banks,1998,28,1988,132.19,14.244613,1.152083,0.0203,9.28,221.735518208,True,0.289165625
CFG,Citizens Financial Group,Financials,Regional Banks,1828,198,2016,71.88,15.66013,1.2621375,0.0256,4.59,30.38206976,True,0.4008993464052288
CLX,Clorox,Consumer Staples,Household Products,1913,113,1969,95.55,15.536586,-172.47293,0.0519,6.15,11.554035712,True,0.8063487804878048
CME,CME Group,Financials,Financial Exchanges & Data,1848,178,2006,255.31,21.63644,3.4722826,0.0204,11.8,92.249309184,True,0.44138338983050845
CMS,CMS Energy,Utilities,Multi-Utilities,1886,140,1957,74.7,20.635359,2.496741,0.0305,3.62,23.076294656,True,0.629378453038674
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,1886,140,1957,82.25,25.864779,10.523286,0.0258,3.18,353.879195648,True,0.667311320754717
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,1994,32,2006,45.45,9.859002,1.4297398,0.029,4.61,21.497849856,True,0.2859110629067245
CL,Colgate-Palmolive,Consumer Staples,Household Products,1806,220,1957,90.75,35.17442,501.38123,0.0234,2.58,72.617181184,True,0.8230813953488373
CMCSA,Comcast,Communication Services,Cable & Satellite,1963,63,2002,22.295,7.1458335,0.88084227,0.0592,3.12,79.116853248,True,0.4230333333333334
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,2002,24,1957,120.26,20.38305,2.2700417,0.0279,5.9,146.51203584,True,0.5686871186440678
ED,Consolidated Edison,Utilities,Multi-Utilities,1823,203,1957,113.01,19.057337,1.6247808,0.0311,5.93,41.647542272,True,0.592683136593592
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,1945,81,2005,130.16,12.396191,2.7033877,0.0317,10.5,22.231896064,True,0.3929592380952381
CEG,Constellation Energy,Utilities,Electric Utilities,1999,27,2022,274.35,23.815104,2.9690595,0.0062,11.52,97.970937856,True,0.14765364583333335
