Date,SP500,Dividend,Earnings,CPI,Rate10Y,RealPrice,RealDiv,RealEarn,CAPE,Year,Payout,DivYield,EarnYield,PE,TRIndex,RealTRIndex
1892-07-01,5.54,0.2317,0.3575,7.23,3.67,234.54,9.81,15.13,19.21,1892,0.6481118881118881,0.041823104693140795,0.06453068592057762,15.496503496503497,4.0694314428309,7.013155709221717
1892-08-01,5.62,0.2333,0.36,7.33,3.69,234.83,9.75,15.04,19.2,1892,0.6480555555555556,0.041512455516014235,0.06405693950177936,15.611111111111112,4.142378817235557,7.041478862585954
1892-09-01,5.48,0.235,0.3625,7.33,3.7,228.98,9.82,15.15,18.69,1892,0.6482758620689655,0.04288321167883211,0.06614963503649635,15.117241379310347,4.053517912210429,6.890427446949788
1892-10-01,5.59,0.2367,0.365,7.33,3.71,233.58,9.89,15.25,19.04,1892,0.6484931506849315,0.042343470483005366,0.06529516994633273,15.315068493150685,4.149369803230613,7.053362585027753
1892-11-01,5.57,0.2383,0.3675,7.52,3.73,226.85,9.71,14.97,18.46,1892,0.6484353741496599,0.042782764811490126,0.06597845601436265,15.156462585034015,4.1491656750202575,6.874814403025587
1892-12-01,5.51,0.24,0.37,7.61,3.74,221.6,9.65,14.88,18.01,1892,0.6486486486486487,0.043557168784029036,0.06715063520871144,14.891891891891891,4.119263623768652,6.744549901728963
1893-01-01,5.61,0.2408,0.3608,7.9,3.75,217.47,9.33,13.99,17.66,1893,0.6674057649667405,0.04292335115864527,0.06431372549019608,15.548780487804878,4.208975354231853,6.638459862497329
1893-02-01,5.51,0.2417,0.3517,7.99,3.75,211.05,9.26,13.47,17.13,1893,0.6872334375888541,0.043865698729582576,0.06382940108892922,15.66676144441285,4.149004332844759,6.470161950844267
1893-03-01,5.31,0.2425,0.3425,7.8,3.74,208.35,9.52,13.44,16.9,1893,0.7080291970802919,0.045668549905838046,0.0645009416195857,15.503649635036494,4.013571845676294,6.411423743221363
1893-04-01,5.31,0.2433,0.3333,7.71,3.74,210.92,9.66,13.24,17.1,1893,0.72997299729973,0.045819209039548024,0.06276836158192091,15.93159315931593,4.028846346187539,6.510950126264167
1893-05-01,4.84,0.2442,0.3242,7.61,3.73,194.66,9.82,13.04,15.78,1893,0.7532387415175817,0.05045454545454545,0.06698347107438017,14.929056138186304,3.6876273399654695,6.037823476474344
1893-06-01,4.61,0.245,0.315,7.42,3.73,190.16,10.11,12.99,15.42,1893,0.7777777777777778,0.05314533622559652,0.06832971800433839,14.634920634920636,3.527893647439899,5.924198766455681
1893-07-01,4.18,0.2458,0.3058,7.23,3.73,176.96,10.41,12.95,14.35,1893,0.803793328973185,0.05880382775119617,0.07315789473684212,13.669064748201437,3.2144519034564007,5.539705493370229
1893-08-01,4.08,0.2467,0.2967,6.95,3.72,179.83,10.87,13.08,14.59,1893,0.8314796090326929,0.0604656862745098,0.07272058823529412,13.751263902932255,3.1533029798862637,5.653259730846453
1893-09-01,4.37,0.2475,0.2875,7.23,3.72,185.0,10.48,12.17,15.01,1893,0.8608695652173913,0.05663615560640732,0.06578947368421052,15.200000000000001,3.39332369506482,5.847968636308114
1893-10-01,4.5,0.2483,0.2783,7.33,3.71,188.03,10.38,11.63,15.27,1893,0.892202659001078,0.05517777777777778,0.061844444444444445,16.169601149838304,3.51028465194563,5.967005015449188
1893-11-01,4.57,0.2492,0.2692,7.14,3.71,196.05,10.69,11.55,15.94,1893,0.9257057949479941,0.054529540481400435,0.05890590809628008,16.976225854383358,3.5810298887366003,6.249248237207009
1893-12-01,4.41,0.25,0.26,7.04,3.7,191.74,10.87,11.3,15.61,1893,0.9615384615384615,0.056689342403628114,0.05895691609977324,16.96153846153846,3.4719273223963176,6.144916823445755
1894-01-01,4.32,0.2467,0.2517,6.85,3.7,193.05,11.02,11.25,15.74,1894,0.9801350814461661,0.05710648148148148,0.05826388888888888,17.163289630512516,3.417473435820563,6.2163093445728785
1894-02-01,4.38,0.2433,0.2433,6.76,3.68,198.49,11.03,11.03,16.2,1894,1.0,0.055547945205479454,0.055547945205479454,18.002466091245378,3.4812016682744154,6.416534435902252
1894-03-01,4.51,0.24,0.235,6.57,3.66,210.3,11.19,10.96,17.19,1894,1.0212765957446808,0.05321507760532151,0.052106430155210645,19.19148936170213,3.6006394720871864,6.828610018600661
1894-04-01,4.57,0.2367,0.2267,6.57,3.64,213.1,11.04,10.57,17.43,1894,1.0441111601235111,0.05179431072210065,0.049606126914660834,20.15880017644464,3.6645089083991547,6.949738355959432
1894-05-01,4.4,0.2333,0.2183,6.57,3.62,205.17,10.88,10.18,16.81,1894,1.0687127805771874,0.05302272727272727,0.04961363636363636,20.155748969308295,3.544009110541456,6.72121058102687
1894-06-01,4.34,0.23,0.21,6.57,3.6,202.37,10.72,9.79,16.61,1894,1.0952380952380953,0.05299539170506913,0.04838709677419355,20.666666666666668,3.511341132622885,6.659255785765775
1894-07-01,4.25,0.2267,0.2017,6.57,3.58,198.18,10.57,9.41,16.29,1894,1.1239464551313834,0.05334117647058824,0.04745882352941176,21.070897372335153,3.4540323775781565,6.550569775437417
1894-08-01,4.41,0.2233,0.1933,6.76,3.56,199.85,10.12,8.76,16.46,1894,1.1551991722710813,0.05063492063492063,0.04383219954648526,22.81427832384894,3.5994200502241767,6.634433997898409
