Symbol,Security,Sector,SubIndustry,Founded,Age,YearAdded,Payer,CompanyKey,AgeBand,PayerLabel
DUK,Duke Energy,Utilities,Electric Utilities,1904,122,1976,True,DUK,100-150y,Pays a dividend
DD,DuPont,Materials,Specialty Chemicals,2017,9,2019,True,DD,<25y,Pays a dividend
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,1911,115,1957,True,ETN,100-150y,Pays a dividend
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,1995,31,2002,True,EBAY,25-50y,Pays a dividend
ECL,Ecolab,Materials,Specialty Chemicals,1923,103,1989,True,ECL,100-150y,Pays a dividend
EIX,Edison International,Utilities,Electric Utilities,1886,140,1957,True,EIX,100-150y,Pays a dividend
EW,Edwards Lifesciences,Health Care,Health Care Equipment,1958,68,2011,False,EW,50-75y,Does not pay
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,1982,44,2002,True,EA,25-50y,Pays a dividend
ELV,Elevance Health,Health Care,Managed Health Care,2014,12,2002,True,ELV,<25y,Pays a dividend
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,1890,136,1965,True,EMR,100-150y,Pays a dividend
ETR,Entergy,Utilities,Electric Utilities,1913,113,1957,True,ETR,100-150y,Pays a dividend
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,1999,27,2000,True,EOG,25-50y,Pays a dividend
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,1888,138,2022,True,EQT,100-150y,Pays a dividend
EFX,Equifax,Industrials,Research & Consulting Services,1899,127,1997,True,EFX,100-150y,Pays a dividend
EQIX,Equinix,Real Estate,Data Center REITs,1998,28,2015,True,EQIX,25-50y,Pays a dividend
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,1969,57,2001,True,EQR,50-75y,Pays a dividend
ERIE,Erie Indemnity,Financials,Insurance Brokers,1925,101,2024,True,ERIE,100-150y,Pays a dividend
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,1971,55,2014,True,ESS,50-75y,Pays a dividend
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,1946,80,2006,True,EL,75-100y,Pays a dividend
EG,Everest Group,Financials,Reinsurance,1973,53,2017,True,EG,50-75y,Pays a dividend
EVRG,Evergy,Utilities,Electric Utilities,1909,117,2018,True,EVRG,100-150y,Pays a dividend
ES,Eversource Energy,Utilities,Electric Utilities,1966,60,2009,True,ES,50-75y,Pays a dividend
EXC,Exelon,Utilities,Electric Utilities,2000,26,1957,True,EXC,25-50y,Pays a dividend
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1996,30,2007,True,EXPE,25-50y,Pays a dividend
EXPD,Expeditors International,Industrials,Air Freight & Logistics,1979,47,2007,True,EXPD,25-50y,Pays a dividend
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,1977,49,2016,True,EXR,25-50y,Pays a dividend
XOM,ExxonMobil,Energy,Integrated Oil & Gas,1999,27,1957,True,XOM,25-50y,Pays a dividend
FFIV,"F5, Inc.",Information Technology,Communications Equipment,1996,30,2010,False,FFIV,25-50y,Does not pay
FDS,FactSet,Financials,Financial Exchanges & Data,1978,48,2021,True,FDS,25-50y,Pays a dividend
FICO,Fair Isaac,Information Technology,Application Software,1956,70,2023,False,FICO,50-75y,Does not pay
FAST,Fastenal,Industrials,Trading Companies & Distributors,1967,59,2008,True,FAST,50-75y,Pays a dividend
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,1962,64,2016,True,FRT,50-75y,Pays a dividend
FDX,FedEx,Industrials,Air Freight & Logistics,1971,55,1980,True,FDX,50-75y,Pays a dividend
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,1968,58,2006,True,FIS,50-75y,Pays a dividend
FITB,Fifth Third Bancorp,Financials,Regional Banks,1858,168,1996,True,FITB,150y+,Pays a dividend
FSLR,First Solar,Information Technology,Semiconductors,1999,27,2022,False,FSLR,25-50y,Does not pay
FE,FirstEnergy,Utilities,Electric Utilities,1997,29,1997,True,FE,25-50y,Pays a dividend
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,1903,123,1957,True,F,100-150y,Pays a dividend
FTNT,Fortinet,Information Technology,Systems Software,2000,26,2018,False,FTNT,25-50y,Does not pay
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,2016,10,2016,True,FTV,<25y,Pays a dividend
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2019,7,2019,True,FOXA,<25y,Pays a dividend
