Symbol,Security,Sector,SubIndustry,Founded,Age,YearAdded,Payer,CompanyKey,AgeBand,PayerLabel
KIM,Kimco Realty,Real Estate,Retail REITs,1958,68,2006,True,KIM,50-75y,Pays a dividend
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,1997,29,2012,True,KMI,25-50y,Pays a dividend
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,1976,50,2024,True,KKR,25-50y,Pays a dividend
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,1975,51,1997,True,KLAC,50-75y,Pays a dividend
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2015,11,2015,True,KHC,<25y,Pays a dividend
KR,Kroger,Consumer Staples,Food Retail,1883,143,1957,True,KR,100-150y,Pays a dividend
LHX,L3Harris,Industrials,Aerospace & Defense,2019,7,2008,True,LHX,<25y,Pays a dividend
LH,Labcorp,Health Care,Health Care Services,1978,48,2004,True,LH,25-50y,Pays a dividend
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,1980,46,2012,True,LRCX,25-50y,Pays a dividend
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,1988,38,2019,True,LVS,25-50y,Pays a dividend
LDOS,Leidos,Industrials,Diversified Support Services,1969,57,2019,True,LDOS,50-75y,Pays a dividend
LEN,Lennar,Consumer Discretionary,Homebuilding,1954,72,2005,True,LEN,50-75y,Pays a dividend
LLY,Lilly (Eli),Health Care,Pharmaceuticals,1876,150,1970,True,LLY,100-150y,Pays a dividend
LIN,Linde plc,Materials,Industrial Gases,1879,147,1992,True,LIN,100-150y,Pays a dividend
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,2010,16,2019,False,LYV,<25y,Does not pay
LMT,Lockheed Martin,Industrials,Aerospace & Defense,1995,31,1957,True,LMT,25-50y,Pays a dividend
L,Loews Corporation,Financials,Multi-line Insurance,1959,67,1995,True,L,50-75y,Pays a dividend
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,1904,122,1984,True,LOW,100-150y,Pays a dividend
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1998,28,2023,False,LULU,25-50y,Does not pay
LYB,LyondellBasell,Materials,Specialty Chemicals,2007,19,2012,True,LYB,<25y,Pays a dividend
MTB,M&T Bank,Financials,Regional Banks,1856,170,2004,True,MTB,150y+,Pays a dividend
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,2009,17,2011,True,MPC,<25y,Pays a dividend
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1927,99,1998,True,MAR,75-100y,Pays a dividend
MLM,Martin Marietta Materials,Materials,Construction Materials,1993,33,2014,True,MLM,25-50y,Pays a dividend
MAS,Masco,Industrials,Building Products,1929,97,1981,True,MAS,75-100y,Pays a dividend
MA,Mastercard,Financials,Transaction & Payment Processing Services,1966,60,2008,True,MA,50-75y,Pays a dividend
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,1889,137,2003,True,MKC,100-150y,Pays a dividend
MCD,McDonald's,Consumer Discretionary,Restaurants,1940,86,1970,True,MCD,75-100y,Pays a dividend
MCK,McKesson Corporation,Health Care,Health Care Distributors,1833,193,1999,True,MCK,150y+,Pays a dividend
MDT,Medtronic,Health Care,Health Care Equipment,1949,77,1986,True,MDT,75-100y,Pays a dividend
MRK,Merck & Co.,Health Care,Pharmaceuticals,1891,135,1957,True,MRK,100-150y,Pays a dividend
META,Meta Platforms,Communication Services,Interactive Media & Services,2004,22,2013,True,META,<25y,Pays a dividend
MET,MetLife,Financials,Life & Health Insurance,1868,158,2000,True,MET,150y+,Pays a dividend
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,1945,81,2016,False,MTD,75-100y,Does not pay
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,1986,40,2017,False,MGM,25-50y,Does not pay
MCHP,Microchip Technology,Information Technology,Semiconductors,1989,37,2007,True,MCHP,25-50y,Pays a dividend
MU,Micron Technology,Information Technology,Semiconductors,1978,48,1994,True,MU,25-50y,Pays a dividend
MSFT,Microsoft,Information Technology,Systems Software,1975,51,1994,True,MSFT,50-75y,Pays a dividend
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,1977,49,2016,True,MAA,25-50y,Pays a dividend
MRNA,Moderna,Health Care,Biotechnology,2010,16,2021,False,MRNA,<25y,Does not pay
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,2005,21,1976,True,TAP,<25y,Pays a dividend
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,2012,14,2012,True,MDLZ,<25y,Pays a dividend
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,1997,29,2021,True,MPWR,25-50y,Pays a dividend
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2012,14,2012,False,MNST,<25y,Does not pay
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,1909,117,1998,True,MCO,100-150y,Pays a dividend
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,1935,91,1993,True,MS,75-100y,Pays a dividend
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,2004,22,2011,True,MOS,<25y,Pays a dividend
MSI,Motorola Solutions,Information Technology,Communications Equipment,1928,98,1957,True,MSI,75-100y,Pays a dividend
MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,1969,57,2018,True,MSCI,50-75y,Pays a dividend
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,1971,55,2008,True,NDAQ,50-75y,Pays a dividend
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",1992,34,1999,True,NTAP,25-50y,Pays a dividend
NFLX,Netflix,Communication Services,Movies & Entertainment,1997,29,2010,False,NFLX,25-50y,Does not pay
NEM,Newmont,Materials,Gold,1921,105,1969,True,NEM,100-150y,Pays a dividend
NWSA,News Corp (Class A),Communication Services,Publishing,2013,13,2013,True,NWSA,<25y,Pays a dividend
NWS,News Corp (Class B),Communication Services,Publishing,2013,13,2015,True,NWS,<25y,Pays a dividend
NEE,NextEra Energy,Utilities,Multi-Utilities,1984,42,1976,True,NEE,25-50y,Pays a dividend
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1964,62,1988,True,NKE,50-75y,Pays a dividend
NI,NiSource,Utilities,Multi-Utilities,1912,114,2000,True,NI,100-150y,Pays a dividend
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,1935,91,2022,True,NDSN,75-100y,Pays a dividend
NSC,Norfolk Southern,Industrials,Rail Transportation,1881,145,1957,True,NSC,100-150y,Pays a dividend
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,1889,137,1998,True,NTRS,100-150y,Pays a dividend
NOC,Northrop Grumman,Industrials,Aerospace & Defense,1994,32,1957,True,NOC,25-50y,Pays a dividend
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2011,15,2017,False,NCLH,<25y,Does not pay
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,1992,34,2010,True,NRG,25-50y,Pays a dividend
NUE,Nucor,Materials,Steel,1940,86,1985,True,NUE,75-100y,Pays a dividend
NVDA,Nvidia,Information Technology,Semiconductors,1993,33,2001,True,NVDA,25-50y,Pays a dividend
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,1980,46,2019,False,NVR,25-50y,Does not pay
NXPI,NXP Semiconductors,Information Technology,Semiconductors,1953,73,2021,True,NXPI,50-75y,Pays a dividend
ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,1957,69,2009,False,ORLY,50-75y,Does not pay
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,1920,106,1957,True,OXY,100-150y,Pays a dividend
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,1934,92,2019,True,ODFL,75-100y,Pays a dividend
OMC,Omnicom Group,Communication Services,Advertising,1986,40,1997,True,OMC,25-50y,Pays a dividend
ON,ON Semiconductor,Information Technology,Semiconductors,1999,27,2022,False,ON,25-50y,Does not pay
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,1906,120,2010,True,OKE,100-150y,Pays a dividend
ORCL,Oracle Corporation,Information Technology,Application Software,1977,49,1989,True,ORCL,25-50y,Pays a dividend
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,2020,6,2020,True,OTIS,<25y,Pays a dividend
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,1905,121,1980,True,PCAR,100-150y,Pays a dividend
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,1959,67,2017,True,PKG,50-75y,Pays a dividend
PLTR,Palantir Technologies,Information Technology,Application Software,2003,23,2024,False,PLTR,<25y,Does not pay
PANW,Palo Alto Networks,Information Technology,Systems Software,2005,21,2023,False,PANW,<25y,Does not pay
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,1917,109,1985,True,PH,100-150y,Pays a dividend
PAYX,Paychex,Industrials,Human Resource & Employment Services,1971,55,1998,True,PAYX,50-75y,Pays a dividend
PYPL,PayPal,Financials,Transaction & Payment Processing Services,1998,28,2015,True,PYPL,25-50y,Pays a dividend
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,1966,60,2012,True,PNR,50-75y,Pays a dividend
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,1898,128,1957,True,PEP,100-150y,Pays a dividend
PFE,Pfizer,Health Care,Pharmaceuticals,1849,177,1957,True,PFE,150y+,Pays a dividend
PCG,PG&E Corporation,Utilities,Multi-Utilities,1905,121,2022,True,PCG,100-150y,Pays a dividend
PM,Philip Morris International,Consumer Staples,Tobacco,2008,18,2008,True,PM,<25y,Pays a dividend
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2012,14,2012,True,PSX,<25y,Pays a dividend
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,1985,41,1999,True,PNW,25-50y,Pays a dividend
PNC,PNC Financial Services,Financials,Diversified Banks,1845,181,1988,True,PNC,150y+,Pays a dividend
PPG,PPG Industries,Materials,Specialty Chemicals,1883,143,1957,True,PPG,100-150y,Pays a dividend
PPL,PPL Corporation,Utilities,Electric Utilities,1920,106,2001,True,PPL,100-150y,Pays a dividend
PFG,Principal Financial Group,Financials,Life & Health Insurance,1879,147,2002,True,PFG,100-150y,Pays a dividend
PG,Procter & Gamble,Consumer Staples,Personal Care Products,1837,189,1957,True,PG,150y+,Pays a dividend
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,1937,89,1997,True,PGR,75-100y,Pays a dividend
PLD,Prologis,Real Estate,Industrial REITs,1983,43,2003,True,PLD,25-50y,Pays a dividend
PRU,Prudential Financial,Financials,Life & Health Insurance,1875,151,2002,True,PRU,150y+,Pays a dividend
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,1903,123,1957,True,PEG,100-150y,Pays a dividend
PTC,PTC Inc.,Information Technology,Application Software,1985,41,2021,False,PTC,25-50y,Does not pay
PSA,Public Storage,Real Estate,Self-Storage REITs,1972,54,2005,True,PSA,50-75y,Pays a dividend
PHM,PulteGroup,Consumer Discretionary,Homebuilding,1956,70,1984,True,PHM,50-75y,Pays a dividend
PWR,Quanta Services,Industrials,Construction & Engineering,1997,29,2009,True,PWR,25-50y,Pays a dividend
QCOM,Qualcomm,Information Technology,Semiconductors,1985,41,1999,True,QCOM,25-50y,Pays a dividend
DGX,Quest Diagnostics,Health Care,Health Care Services,1967,59,2002,True,DGX,50-75y,Pays a dividend
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1967,59,2007,True,RL,50-75y,Pays a dividend
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,1962,64,2017,True,RJF,50-75y,Pays a dividend
RTX,RTX Corporation,Industrials,Aerospace & Defense,1922,104,1957,True,RTX,100-150y,Pays a dividend
O,Realty Income,Real Estate,Retail REITs,1969,57,2015,True,O,50-75y,Pays a dividend
REG,Regency Centers,Real Estate,Retail REITs,1963,63,2017,True,REG,50-75y,Pays a dividend
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,1988,38,2013,True,REGN,25-50y,Pays a dividend
RF,Regions Financial Corporation,Financials,Regional Banks,1971,55,1998,True,RF,50-75y,Pays a dividend
RSG,Republic Services,Industrials,Environmental & Facilities Services,1998,28,2008,True,RSG,25-50y,Pays a dividend
RMD,ResMed,Health Care,Health Care Equipment,1989,37,2017,True,RMD,25-50y,Pays a dividend
RVTY,Revvity,Health Care,Health Care Equipment,1937,89,1985,True,RVTY,75-100y,Pays a dividend
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,1903,123,2000,True,ROK,100-150y,Pays a dividend
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,1948,78,2018,True,ROL,75-100y,Pays a dividend
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,1981,45,2009,True,ROP,25-50y,Pays a dividend
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,1982,44,2009,True,ROST,25-50y,Pays a dividend
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1997,29,2014,True,RCL,25-50y,Pays a dividend
SPGI,S&P Global,Financials,Financial Exchanges & Data,1917,109,1957,True,SPGI,100-150y,Pays a dividend
CRM,Salesforce,Information Technology,Application Software,1999,27,2008,True,CRM,25-50y,Pays a dividend
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,1989,37,2017,True,SBAC,25-50y,Pays a dividend
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,1926,100,1957,True,SLB,75-100y,Pays a dividend
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",1979,47,2012,True,STX,25-50y,Pays a dividend
SRE,Sempra,Utilities,Multi-Utilities,1998,28,2017,True,SRE,25-50y,Pays a dividend
NOW,ServiceNow,Information Technology,Systems Software,2003,23,2019,False,NOW,<25y,Does not pay
SHW,Sherwin-Williams,Materials,Specialty Chemicals,1866,160,1964,True,SHW,150y+,Pays a dividend
SPG,Simon Property Group,Real Estate,Retail REITs,2003,23,2002,True,SPG,<25y,Pays a dividend
SWKS,Skyworks Solutions,Information Technology,Semiconductors,2002,24,2015,True,SWKS,<25y,Pays a dividend
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,1897,129,2008,True,SJM,100-150y,Pays a dividend
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,1934,92,2024,True,SW,75-100y,Pays a dividend
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,1920,106,1982,True,SNA,100-150y,Pays a dividend
SOLV,Solventum,Health Care,Health Care Technology,2023,3,2024,False,SOLV,<25y,Does not pay
SO,Southern Company,Utilities,Electric Utilities,1945,81,1957,True,SO,75-100y,Pays a dividend
LUV,Southwest Airlines,Industrials,Passenger Airlines,1967,59,1994,True,LUV,50-75y,Pays a dividend
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,1843,183,1982,True,SWK,150y+,Pays a dividend
SBUX,Starbucks,Consumer Discretionary,Restaurants,1971,55,2000,True,SBUX,50-75y,Pays a dividend
STT,State Street Corporation,Financials,Asset Management & Custody Banks,1792,234,2003,True,STT,150y+,Pays a dividend
STLD,Steel Dynamics,Materials,Steel,1993,33,2022,True,STLD,25-50y,Pays a dividend
STE,Steris,Health Care,Health Care Equipment,1985,41,2019,True,STE,25-50y,Pays a dividend
SYK,Stryker Corporation,Health Care,Health Care Equipment,1941,85,2000,True,SYK,75-100y,Pays a dividend
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",1993,33,2024,False,SMCI,25-50y,Does not pay
SYF,Synchrony Financial,Financials,Consumer Finance,2003,23,2015,True,SYF,<25y,Pays a dividend
SNPS,Synopsys,Information Technology,Application Software,1986,40,2017,False,SNPS,25-50y,Does not pay
SYY,Sysco,Consumer Staples,Food Distributors,1969,57,1986,True,SYY,50-75y,Pays a dividend
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,1994,32,2019,True,TMUS,25-50y,Pays a dividend
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,1937,89,2019,True,TROW,75-100y,Pays a dividend
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,1993,33,2018,False,TTWO,25-50y,Does not pay
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2017,9,2004,True,TPR,<25y,Pays a dividend
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2005,21,2022,True,TRGP,<25y,Pays a dividend
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,1902,124,1976,True,TGT,100-150y,Pays a dividend
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2007,19,2011,True,TEL,<25y,Pays a dividend
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,1960,66,2020,False,TDY,50-75y,Does not pay
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,1960,66,2020,True,TER,50-75y,Pays a dividend
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,2003,23,2020,False,TSLA,<25y,Does not pay
TXN,Texas Instruments,Information Technology,Semiconductors,1930,96,2001,True,TXN,75-100y,Pays a dividend
TXT,Textron,Industrials,Aerospace & Defense,1923,103,1978,True,TXT,100-150y,Pays a dividend
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,2006,20,2004,True,TMO,<25y,Pays a dividend
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,1987,39,1985,True,TJX,25-50y,Pays a dividend
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,1938,88,2014,True,TSCO,75-100y,Pays a dividend
TT,Trane Technologies,Industrials,Building Products,1871,155,2010,True,TT,150y+,Pays a dividend
TDG,TransDigm Group,Industrials,Aerospace & Defense,1993,33,2016,False,TDG,25-50y,Does not pay
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,1853,173,2002,True,TRV,150y+,Pays a dividend
TRMB,Trimble Inc.,Information Technology,Application Software,1978,48,2021,False,TRMB,25-50y,Does not pay
TFC,Truist Financial,Financials,Diversified Banks,1872,154,1997,True,TFC,150y+,Pays a dividend
TYL,Tyler Technologies,Information Technology,Application Software,1966,60,2020,False,TYL,50-75y,Does not pay
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,1935,91,2005,True,TSN,75-100y,Pays a dividend
USB,U.S. Bancorp,Financials,Diversified Banks,1968,58,1999,True,USB,50-75y,Pays a dividend
UBER,Uber,Industrials,Passenger Ground Transportation,2009,17,2023,False,UBER,<25y,Does not pay
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,1972,54,2016,True,UDR,50-75y,Pays a dividend
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,1990,36,2016,False,ULTA,25-50y,Does not pay
UNP,Union Pacific Corporation,Industrials,Rail Transportation,1862,164,1957,True,UNP,150y+,Pays a dividend
UAL,United Airlines Holdings,Industrials,Passenger Airlines,1967,59,2015,False,UAL,50-75y,Does not pay
UPS,United Parcel Service,Industrials,Air Freight & Logistics,1907,119,2002,True,UPS,100-150y,Pays a dividend
URI,United Rentals,Industrials,Trading Companies & Distributors,1997,29,2014,True,URI,25-50y,Pays a dividend
UNH,UnitedHealth Group,Health Care,Managed Health Care,1977,49,1994,True,UNH,25-50y,Pays a dividend
UHS,Universal Health Services,Health Care,Health Care Facilities,1979,47,2014,True,UHS,25-50y,Pays a dividend
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,1980,46,2002,True,VLO,25-50y,Pays a dividend
VTR,Ventas,Real Estate,Health Care REITs,1998,28,2009,True,VTR,25-50y,Pays a dividend
VLTO,Veralto,Industrials,Environmental & Facilities Services,2023,3,2023,True,VLTO,<25y,Pays a dividend
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,1995,31,2006,True,VRSN,25-50y,Pays a dividend
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,1971,55,2015,True,VRSK,50-75y,Pays a dividend
VZ,Verizon,Communication Services,Integrated Telecommunication Services,1983,43,1983,True,VZ,25-50y,Pays a dividend
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,1989,37,2013,False,VRTX,25-50y,Does not pay
VTRS,Viatris,Health Care,Pharmaceuticals,1961,65,2004,True,VTRS,50-75y,Pays a dividend
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2017,9,2022,True,VICI,<25y,Pays a dividend
V,Visa Inc.,Financials,Transaction & Payment Processing Services,1958,68,2009,True,V,50-75y,Pays a dividend
VST,Vistra Corp.,Utilities,Electric Utilities,2016,10,2024,True,VST,<25y,Pays a dividend
VMC,Vulcan Materials Company,Materials,Construction Materials,1909,117,1999,True,VMC,100-150y,Pays a dividend
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,1967,59,2019,True,WRB,50-75y,Pays a dividend
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,1927,99,1981,True,GWW,75-100y,Pays a dividend
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,1999,27,2019,True,WAB,25-50y,Pays a dividend
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,1962,64,1982,True,WMT,50-75y,Pays a dividend
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,1923,103,1976,True,DIS,100-150y,Pays a dividend
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,2022,4,2022,False,WBD,<25y,Does not pay
WM,Waste Management,Industrials,Environmental & Facilities Services,1968,58,1998,True,WM,50-75y,Pays a dividend
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,1958,68,2002,False,WAT,50-75y,Does not pay
WEC,WEC Energy Group,Utilities,Electric Utilities,1896,130,2008,True,WEC,100-150y,Pays a dividend
WFC,Wells Fargo,Financials,Diversified Banks,1852,174,1976,True,WFC,150y+,Pays a dividend
WELL,Welltower,Real Estate,Health Care REITs,1970,56,2009,True,WELL,50-75y,Pays a dividend
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,1923,103,2020,True,WST,100-150y,Pays a dividend
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",1970,56,2009,True,WDC,50-75y,Pays a dividend
WY,Weyerhaeuser,Real Estate,Timber REITs,1900,126,1979,True,WY,100-150y,Pays a dividend
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,1908,118,1975,True,WMB,100-150y,Pays a dividend
WTW,Willis Towers Watson,Financials,Insurance Brokers,2016,10,2016,True,WTW,<25y,Pays a dividend
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,2002,24,2008,True,WYNN,<25y,Pays a dividend
XEL,Xcel Energy,Utilities,Multi-Utilities,1909,117,1957,True,XEL,100-150y,Pays a dividend
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2011,15,2011,True,XYL,<25y,Pays a dividend
YUM,Yum! Brands,Consumer Discretionary,Restaurants,1997,29,1997,True,YUM,25-50y,Pays a dividend
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,1969,57,2019,False,ZBRA,50-75y,Does not pay
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,1927,99,2001,True,ZBH,75-100y,Pays a dividend
ZTS,Zoetis,Health Care,Pharmaceuticals,1952,74,2013,True,ZTS,50-75y,Pays a dividend
