StartingDivYield,Fwd10yRealReturn,YearKey
0.028669,-0.037192,1972
0.026661,-0.017385,1973
0.030592,0.010888,1973
0.035376,0.023933,1974
0.044509,0.038022,1974
0.049936,0.064623,1975
0.040112,0.052964,1975
0.038027,0.057238,1976
0.036372,0.067467,1976
0.039467,0.078936,1977
0.043979,0.101418,1977
0.052225,0.089454,1978
0.050897,0.091089,1978
0.051282,0.095743,1979
0.052548,0.112614,1979
0.051398,0.109891,1980
0.049944,0.110790,1980
0.046617,0.089761,1981
0.049832,0.113685,1981
0.056777,0.135043,1982
0.062370,0.142850,1982
0.047702,0.114313,1983
0.041677,0.101259,1983
0.042788,0.107804,1984
0.048533,0.113017,1984
0.044134,0.101435,1985
0.040381,0.108599,1985
0.038136,0.110224,1986
0.033902,0.097015,1986
0.031380,0.105054,1987
0.027626,0.109346,1987
0.035356,0.138077,1988
0.034584,0.151276,1988
0.034384,0.153899,1989
0.031405,0.148382,1989
0.032768,0.149486,1990
0.032571,0.145425,1990
0.037195,0.146429,1991
0.032068,0.115856,1991
0.029417,0.100635,1992
0.029739,0.074844,1992
0.028521,0.068869,1993
0.027991,0.076440,1993
0.026688,0.084638,1994
0.028511,0.085671,1994
0.028329,0.089597,1995
0.024113,0.072217,1995
0.022612,0.066080,1996
0.022358,0.058355,1996
0.019516,0.054743,1997
0.016445,0.039733,1997
0.016141,0.024907,1998
0.013848,-0.005676,1998
0.013039,-0.044203,1999
0.011958,-0.045960,1999
0.011724,-0.030346,2000
0.011258,-0.035287,2000
0.012107,-0.008212,2001
0.013041,0.004422,2001
0.013802,0.007833,2002
0.017663,0.037053,2002
0.017994,0.047352,2003
0.016433,0.049051,2003
0.015541,0.045249,2004
0.016988,0.056699,2004
0.016678,0.055515,2005
0.017272,0.055801,2005
0.017523,0.044371,2006
0.018774,0.059101,2006
0.017613,0.050846,2007
0.017387,0.054196,2007
0.020250,0.078404,2008
0.022871,0.091080,2008
0.032364,0.119795,2009
0.026743,0.126024,2009
0.019794,0.115510,2010
0.020507,0.117726,2010
0.017903,0.117178,2011
0.018578,0.127077,2011
0.020557,0.131113,2012
0.021138,0.103714,2012
0.021303,0.095005,2013
