CompanyKey,SectorKey,AgeBandKey,Price,PE,PB,DivYield,EPS,MarketCapBn,Payer,PayoutRatio,Age,Founded
INTU,Information Technology,25-50y,296.330000,18.079927,3.939773,0.016200,16.390000,81.057210,True,0.292895,43,1983
ISRG,Health Care,25-50y,337.500000,38.748566,6.574078,,8.710000,120.918843,False,,31,1995
IVZ,Financials,75-100y,29.930000,,1.361569,0.028700,-1.470000,13.267869,True,,91,1935
INVH,Real Estate,<25y,29.780000,31.347370,1.945769,0.040300,0.950000,17.690571,True,1.263299,14,2012
IQV,Health Care,25-50y,208.050000,25.844720,5.581639,,8.050000,34.723545,False,,44,1982
IRM,Real Estate,50-75y,128.310000,139.467390,-31.417727,0.026900,0.920000,38.175392,True,3.751673,75,1951
JBHT,Industrials,50-75y,288.300000,40.951702,7.403507,0.006200,7.040000,27.071369,True,0.253901,65,1961
JBL,Information Technology,50-75y,312.590000,39.073750,24.767450,0.001000,8.000000,32.755395,True,0.039074,60,1966
JKHY,Financials,25-50y,150.580000,21.060140,5.022850,0.015800,7.150000,10.698827,True,0.332750,50,1976
J,Industrials,75-100y,134.560000,39.693214,4.829864,0.010700,3.390000,15.888963,True,0.424717,79,1947
JNJ,Health Care,100-150y,263.400000,30.592335,7.807914,0.020300,8.610000,634.767278,True,0.621024,140,1886
JCI,Industrials,100-150y,143.370000,43.844036,6.470933,0.011200,3.270000,87.472267,True,0.491053,141,1885
JPM,Financials,25-50y,353.210000,15.126766,2.655574,0.017000,23.350000,938.902815,True,0.257155,26,2000
KVUE,Consumer Staples,<25y,19.280000,22.952383,3.489593,0.043000,0.840000,37.017768,True,0.986952,4,2022
KDP,Consumer Staples,25-50y,29.680000,21.985186,1.598449,0.031000,1.350000,40.381407,True,0.681541,45,1981
KEY,Financials,150y+,22.650000,13.245613,1.403694,0.036200,1.710000,24.281592,True,0.479491,201,1825
KEYS,Information Technology,<25y,318.670000,51.315620,8.595048,,6.210000,54.459228,False,,12,2014
KMB,Consumer Staples,150y+,109.700000,21.218567,20.273518,0.046700,5.170000,36.413854,True,0.990907,154,1872
KIM,Real Estate,50-75y,26.100000,30.000000,1.694255,0.039800,0.870000,17.601573,True,1.194000,68,1958
KMI,Energy,25-50y,32.860000,21.200000,2.311480,0.035900,1.550000,73.107775,True,0.761080,29,1997
KKR,Financials,25-50y,99.360000,33.795918,3.161512,0.007500,2.940000,92.647391,True,0.253469,50,1976
KLAC,Information Technology,50-75y,210.520000,59.468930,47.191216,0.004400,3.540000,274.997051,True,0.261663,51,1975
KHC,Consumer Staples,<25y,25.670000,,0.726208,0.062300,-4.860000,30.438912,True,,11,2015
KR,Consumer Staples,100-150y,56.870000,33.257310,6.146779,0.025300,1.710000,34.841252,True,0.841410,143,1883
LHX,Industrials,<25y,300.210000,32.560734,2.920870,0.016700,9.220000,55.927603,True,0.543764,7,2019
LH,Health Care,25-50y,296.770000,26.309397,2.798186,0.009700,11.280000,24.335139,True,0.255201,48,1978
LRCX,Information Technology,25-50y,305.210000,57.804920,36.059784,0.003400,5.280000,381.686776,True,0.196537,46,1980
LVS,Consumer Discretionary,25-50y,46.080000,17.860466,25.500830,0.026000,2.580000,30.534328,True,0.464372,38,1988
LDOS,Industrials,50-75y,112.140000,10.259835,2.813770,0.015300,10.930000,14.105582,True,0.156975,57,1969
LEN,Consumer Discretionary,50-75y,84.640000,13.266458,0.943054,0.023600,6.380000,20.389364,True,0.313088,72,1954
LLY,Health Care,100-150y,1196.030000,42.548203,34.253517,0.005800,28.110000,1066.549445,True,0.246780,150,1876
LIN,Materials,100-150y,512.280000,34.015938,6.144805,0.012500,15.060000,236.851282,True,0.425199,147,1879
LYV,Communication Services,<25y,177.240000,,-293.443730,,-1.770000,41.246020,False,,16,2010
LMT,Industrials,25-50y,582.600000,21.506090,17.892570,0.023700,27.090000,134.458687,True,0.509694,31,1995
L,Financials,50-75y,117.900000,15.000000,1.297058,0.002100,7.860000,24.260151,True,0.031500,67,1959
LOW,Consumer Discretionary,100-150y,207.640000,17.537163,-12.565965,0.024100,11.840000,116.425220,True,0.422646,122,1904
LULU,Consumer Discretionary,25-50y,114.280000,9.253441,2.709790,,12.350000,12.976942,False,,28,1998
LYB,Materials,<25y,60.320000,,1.939176,0.068300,-2.120000,19.470377,True,,19,2007
MTB,Financials,150y+,249.600000,13.213341,1.417972,0.024000,18.890000,36.175274,True,0.317120,170,1856
MPC,Energy,<25y,309.240000,20.371540,5.408468,0.012600,15.180000,90.278486,True,0.256681,17,2009
MAR,Consumer Discretionary,75-100y,374.430000,39.207330,-24.220842,0.007800,9.550000,98.732933,True,0.305817,99,1927
MLM,Materials,25-50y,559.600000,35.084637,2.974918,0.005900,15.950000,33.601683,True,0.206999,33,1993
MAS,Industrials,75-100y,79.270000,19.621286,-66.058330,0.016100,4.040000,15.991487,True,0.315903,97,1929
MA,Financials,50-75y,539.660000,31.248405,71.232834,0.006400,17.270000,476.834857,True,0.199990,60,1966
MKC,Consumer Staples,100-150y,49.960000,8.312812,1.920062,0.038400,6.010000,13.431823,True,0.319212,137,1889
MCD,Consumer Discretionary,75-100y,264.760000,21.826876,-146.276260,0.028100,12.130000,188.113535,True,0.613335,86,1940
MCK,Health Care,150y+,840.900000,21.926990,-46.458565,0.004500,38.350000,98.450678,True,0.098671,193,1833
MDT,Health Care,75-100y,83.210000,22.308311,2.153579,0.034600,3.730000,106.512556,True,0.771868,77,1949
MRK,Health Care,100-150y,131.070000,36.921130,7.055879,0.025900,3.550000,323.719922,True,0.956257,135,1891
META,Communication Services,<25y,595.190000,21.643272,6.199056,0.003500,27.500000,1510.844137,True,0.075751,22,2004
MET,Financials,150y+,94.830000,18.342360,2.242056,0.025000,5.170000,61.017113,True,0.458559,158,1868
MTD,Health Care,75-100y,1327.180000,31.154463,-640.221900,,42.600000,26.819123,False,,81,1945
MGM,Consumer Discretionary,25-50y,45.540000,62.383560,4.788140,,0.730000,11.651465,False,,40,1986
MCHP,Information Technology,25-50y,78.860000,358.454560,6.645879,0.023100,0.220000,42.821640,True,8.280300,37,1989
MU,Information Technology,25-50y,920.950000,20.831260,10.322816,0.000600,44.210000,1040.114647,True,0.012499,48,1978
MSFT,Information Technology,50-75y,381.700000,22.733770,6.843323,0.009500,16.790000,2835.433652,True,0.215971,51,1975
MAA,Real Estate,25-50y,133.880000,40.693012,2.811483,0.045700,3.290000,15.975452,True,1.859671,49,1977
MRNA,Health Care,<25y,54.070000,,2.897642,,-8.140000,21.454234,False,,16,2010
TAP,Consumer Staples,<25y,40.950000,,0.764777,0.046900,-10.550000,7.680228,True,,21,2005
MDLZ,Consumer Staples,<25y,60.520000,90.328354,3.016949,0.033000,0.670000,77.686489,True,2.980836,14,2012
